SHEET,CHAIN,CO_OWNED,STATE,SOUTHJ,CENTRALJ,NORTHJ,PA1,PA2,SHORE,NCALLS,EMPFT,EMPPT,NMGRS,WAGE_ST,INCTIME,FIRSTINC,BONUS,PCTAFF,MEAL,OPEN,HRSOPEN,PSODA,PFRY,PENTREE,NREGS,NREGS11,TYPE2,STATUS2,DATE2,NCALLS2,EMPFT2,EMPPT2,NMGRS2,WAGE_ST2,INCTIME2,FIRSTIN2,SPECIAL2,MEALS2,OPEN2R,HRSOPEN2,PSODA2,PFRY2,PENTREE2,NREGS2,NREGS112,FTE,FTE2,DEMP,NJ
462,3,1,0,0,0,0,0,1,0,0,2.5,20.0,3.0,5.0,13.0,0.37,1,5.0,2,9.0,12.5,1.05,1.01,1.11,4.0,4.0,2,1,122292,1.0,1.0,25.0,4.0,4.75,13.0,0.2,0.0,2.0,9.0,12.0,1.01,1.01,0.89,6.0,3.0,15.5,17.5,2.0,0
468,1,0,0,0,0,0,0,1,0,0,40.0,30.0,3.0,5.0,13.0,0.17,0,0.0,2,6.0,18.0,0.95,0.94,0.95,4.0,3.0,1,1,110792,,9.0,32.0,4.0,5.0,26.0,0.13,1.0,2.0,6.0,18.0,0.97,0.84,0.86,4.0,3.0,58.0,29.0,-29.0,0
469,1,0,0,0,0,0,0,1,0,0,8.0,27.0,5.0,5.0,39.0,0.25,0,80.0,2,6.0,18.0,0.92,0.72,0.96,3.0,2.0,1,1,111692,1.0,7.0,39.0,4.0,4.5,41.0,0.23,0.0,2.0,6.0,18.0,0.92,0.81,0.87,3.0,3.0,26.5,30.5,4.0,0
470,1,0,0,0,0,0,0,1,0,0,10.5,30.0,3.0,5.5,,0.3,0,0.0,2,6.0,18.0,0.97,0.84,0.94,3.0,3.0,1,1,111792,2.0,18.0,10.0,3.0,4.75,13.0,0.15,1.0,2.0,6.0,18.0,1.03,0.84,0.94,3.0,2.0,28.5,26.0,-2.5,0
474,1,0,0,0,0,0,0,1,0,2,6.0,9.0,3.0,5.0,26.0,0.37,0,0.0,2,9.0,12.5,1.13,0.98,1.01,3.0,1.0,2,1,122292,1.0,5.0,20.0,3.0,4.5,,0.0,0.0,2.0,8.5,13.0,1.09,0.94,0.94,3.0,2.0,13.5,18.0,4.5,0
481,2,1,0,0,0,0,0,1,0,2,5.0,17.5,3.0,5.25,26.0,0.25,1,0.0,3,11.0,10.0,0.95,0.74,2.53,5.0,4.0,1,1,111792,2.0,15.0,4.0,3.0,5.0,26.0,0.25,1.0,2.0,11.0,11.0,0.74,0.73,2.53,3.0,3.0,16.75,20.0,3.25,0
483,2,1,0,0,0,0,0,1,0,0,1.0,15.0,1.0,5.0,13.0,0.07,1,0.0,2,11.0,10.0,0.94,0.73,2.32,4.0,3.0,1,1,111292,,4.0,13.0,3.0,4.75,13.0,0.18,0.0,1.0,11.0,11.0,0.95,0.74,2.33,4.0,3.0,9.5,13.5,4.0,0
487,3,1,0,0,0,0,0,1,0,0,10.0,6.0,2.0,5.0,13.0,0.17,1,0.0,2,10.0,11.5,1.11,0.91,0.95,6.0,3.0,1,1,111192,,6.0,20.0,3.0,4.75,26.0,0.1,0.0,2.0,10.5,11.0,1.05,1.01,0.94,6.0,1.0,15.0,19.0,4.0,0
488,3,0,0,0,0,0,0,1,0,1,20.0,13.0,3.0,5.0,13.0,0.25,1,0.0,2,6.0,16.0,1.05,0.79,1.01,5.0,5.0,1,1,111192,,5.0,15.0,3.0,4.75,26.0,0.13,0.0,2.0,7.0,15.0,1.01,1.01,0.94,5.0,3.0,29.5,15.5,-14.0,0
489,3,0,0,0,0,0,0,1,0,2,5.0,23.0,2.0,5.0,13.0,0.37,1,6.0,2,7.0,14.0,1.05,1.01,0.94,4.0,4.0,1,1,111892,2.0,2.0,19.0,3.0,4.25,26.0,0.13,0.0,2.0,10.0,11.5,1.01,1.01,1.05,6.0,3.0,18.5,14.5,-4.0,0
490,3,1,0,0,0,0,0,1,0,0,10.0,12.5,4.0,5.0,13.0,0.12,0,0.0,2,6.0,16.0,1.05,1.01,1.05,4.0,4.0,1,1,111692,1.0,2.0,18.0,3.0,5.0,26.0,0.28,0.0,2.0,6.0,16.0,1.01,1.01,1.05,5.0,3.0,20.25,14.0,-6.25,0
493,3,1,0,0,0,0,1,0,0,0,27.0,12.0,3.0,5.0,26.0,0.25,0,0.0,2,6.0,16.0,1.05,0.9,2.01,6.0,3.0,1,1,111192,,0.0,30.0,4.0,4.9,13.0,0.25,0.0,2.0,6.0,16.0,1.02,1.01,0.84,3.0,3.0,36.0,19.0,-17.0,0
495,3,0,0,0,0,0,0,1,0,2,4.0,28.0,3.0,5.0,26.0,0.25,0,2.0,2,7.0,15.0,1.05,1.01,0.94,3.0,3.0,1,1,111192,,8.0,20.0,3.0,5.0,26.0,0.25,1.0,2.0,6.0,16.0,0.96,1.01,1.01,5.0,3.0,21.0,21.0,0.0,0
496,3,1,0,0,0,0,0,1,0,0,10.0,15.0,3.0,5.0,13.0,0.17,1,0.0,2,6.0,16.0,1.05,0.9,0.73,5.0,3.0,1,1,111192,,10.0,10.0,3.0,4.75,19.0,0.18,0.0,2.0,6.0,16.0,1.01,1.01,0.89,,,20.5,18.0,-2.5,0
499,4,1,0,0,0,0,0,1,0,0,0.0,28.0,5.0,5.0,26.0,0.07,1,11.0,2,10.0,12.0,0.9,0.69,1.75,2.0,2.0,1,1,111492,1.0,0.0,31.0,5.0,5.0,26.0,0.1,1.0,2.0,10.0,12.0,0.9,0.69,0.94,2.0,2.0,19.0,20.5,1.5,0
509,3,1,0,0,0,0,0,1,0,2,3.0,16.0,3.0,5.0,13.0,0.25,0,30.0,2,6.0,16.0,1.05,0.95,1.16,6.0,3.0,1,1,111192,,5.5,10.0,3.0,4.25,26.0,0.2,0.0,2.0,6.5,15.5,1.0,1.01,0.94,3.0,2.0,14.0,13.5,-0.5,0
515,3,1,0,0,0,0,0,1,0,0,7.0,16.0,4.0,5.0,13.0,0.2,0,33.0,2,6.0,16.0,1.05,0.94,1.16,5.0,3.0,1,1,111192,,5.0,19.0,3.0,4.75,13.0,0.18,0.0,2.0,6.0,16.0,1.01,1.01,0.94,5.0,4.0,19.0,17.5,-1.5,0
37,1,0,0,0,0,0,1,0,0,2,21.0,9.0,7.0,4.25,4.0,0.25,0,33.0,2,6.5,16.5,0.98,0.84,0.84,5.0,3.0,1,1,111092,,6.0,25.0,7.0,4.25,52.0,0.18,0.0,2.0,6.5,16.5,0.98,0.84,0.86,6.0,3.0,32.5,25.5,-7.0,0
39,1,0,0,0,0,0,1,0,0,0,1.0,32.0,2.0,4.25,8.0,,0,100.0,2,6.5,17.5,1.03,0.73,0.52,4.0,2.0,1,1,111792,,5.0,15.0,3.0,,,,0.0,2.0,6.5,16.5,1.05,,0.63,4.0,2.0,19.0,15.5,-3.5,0
40,1,0,0,0,0,0,1,0,0,0,10.0,20.0,7.0,4.25,4.0,0.15,0,100.0,2,6.5,16.5,0.98,0.82,0.8,3.0,3.0,1,1,111092,,7.0,25.0,6.0,4.25,8.0,0.13,0.0,2.0,6.5,17.5,0.98,0.82,0.87,3.0,2.0,27.0,25.5,-1.5,0
41,1,0,0,0,0,0,1,0,0,0,0.0,27.0,6.0,4.25,18.0,0.2,0,100.0,2,6.5,16.5,0.98,0.82,0.85,3.0,3.0,1,1,111892,2.0,0.0,42.0,6.0,4.25,,,0.0,2.0,6.5,17.5,0.94,0.78,0.91,3.0,2.0,19.5,27.0,7.5,0
42,1,0,0,0,0,0,1,0,0,2,17.0,4.0,5.0,4.5,,,0,100.0,2,6.5,16.5,0.98,0.83,0.86,3.0,3.0,1,1,111792,1.0,0.0,22.0,5.0,4.25,26.0,0.25,0.0,2.0,6.5,16.5,0.94,,,3.0,2.0,24.0,16.0,-8.0,0
45,1,0,0,0,0,0,1,0,0,0,0.0,24.0,6.0,4.25,2.0,0.25,0,25.0,2,7.0,16.0,0.98,0.83,0.86,3.0,3.0,1,1,111092,,11.0,12.0,2.0,4.25,26.0,0.15,0.0,3.0,6.5,17.5,0.98,0.75,0.86,3.0,3.0,18.0,19.0,1.0,0
47,1,0,0,0,0,0,1,0,0,2,25.0,15.0,,4.5,4.0,0.17,0,75.0,2,6.0,17.0,1.05,0.86,0.86,3.0,3.0,1,1,111092,,0.0,45.0,2.0,4.25,,,0.0,2.0,6.0,18.0,1.05,0.86,0.86,3.0,,,24.5,,0
48,1,0,0,0,0,0,1,0,0,0,6.0,20.0,3.0,4.25,13.0,0.2,1,31.0,3,7.0,14.0,1.01,0.84,0.63,4.0,3.0,1,1,111092,,7.5,25.0,5.0,4.38,13.0,0.25,1.0,3.0,7.0,14.0,0.98,0.79,0.87,4.0,3.0,19.0,25.0,6.0,0
50,2,0,0,0,0,0,1,0,0,0,6.0,10.0,3.0,4.5,13.0,,0,20.0,2,10.0,12.0,1.01,0.89,3.5,4.0,3.0,1,1,111292,,4.0,20.0,3.0,4.75,13.0,0.1,0.0,2.0,10.0,13.0,1.01,0.89,2.35,4.0,3.0,14.0,17.0,3.0,0
51,2,0,0,0,0,0,1,0,0,1,0.0,15.0,3.0,4.25,,0.15,0,100.0,2,10.0,13.0,1.01,0.89,2.35,4.0,3.0,1,1,111792,2.0,6.0,15.0,3.0,4.25,,,0.0,2.0,10.0,13.0,1.0,0.89,2.35,5.0,3.0,10.5,16.5,6.0,0
57,4,1,0,0,0,0,1,0,0,0,30.0,10.0,3.0,4.67,26.0,0.07,1,70.0,2,10.0,12.0,0.87,0.79,0.9,2.0,2.0,1,1,111492,1.0,7.0,18.0,4.0,4.5,26.0,0.13,1.0,2.0,10.0,12.0,1.01,0.78,0.9,2.0,2.0,38.0,20.0,-18.0,0
58,4,1,0,0,0,0,1,0,0,2,8.0,25.0,3.0,4.75,26.0,0.15,0,80.0,2,10.0,12.0,0.87,0.77,1.01,2.0,2.0,1,1,111492,2.0,0.0,28.0,4.0,4.5,26.0,0.08,1.0,2.0,10.0,12.0,1.04,0.84,0.94,2.0,2.0,23.5,18.0,-5.5,0
59,4,0,0,0,0,0,1,0,0,3,0.0,15.0,3.0,4.25,26.0,0.1,0,90.0,1,7.5,10.5,0.91,0.89,0.81,2.0,2.0,1,1,111492,1.0,0.0,16.0,4.0,4.25,26.0,0.1,0.0,1.0,7.5,10.5,1.01,0.84,0.86,2.0,2.0,10.5,12.0,1.5,0
60,4,0,0,0,0,0,1,0,0,0,10.0,20.0,5.0,4.25,4.0,0.1,0,75.0,1,10.5,11.5,0.94,0.74,0.86,2.0,2.0,1,1,111792,2.0,10.0,20.0,5.0,4.25,4.0,0.25,0.0,1.0,10.0,12.0,0.98,0.84,0.86,2.0,2.0,25.0,25.0,0.0,0
407,2,1,0,0,0,0,0,1,0,0,2.0,12.0,3.0,4.75,52.0,0.12,0,90.0,3,11.0,10.0,0.95,0.74,2.33,4.0,3.0,1,1,111492,,1.0,14.0,3.0,4.25,4.0,0.3,0.0,1.0,11.0,11.0,0.95,0.84,2.53,4.0,3.0,11.0,11.0,0.0,0
430,1,0,0,0,0,0,1,0,0,0,20.0,25.0,4.0,4.25,13.0,0.15,0,44.0,2,7.0,15.0,0.95,0.75,0.8,3.0,3.0,1,1,110792,,0.0,48.0,3.0,4.25,26.0,0.13,0.0,2.0,7.0,16.0,0.91,0.73,0.75,3.0,3.0,36.5,27.0,-9.5,0
432,1,0,0,0,0,0,1,0,0,0,20.0,55.0,5.0,4.5,17.0,0.15,0,75.0,2,7.0,16.0,0.94,0.74,0.79,4.0,3.0,1,1,110792,1.0,25.0,10.0,4.0,5.05,26.0,0.2,0.0,2.0,7.0,16.0,0.94,0.74,0.79,3.0,1.0,52.5,34.0,-18.5,0
433,1,0,0,0,0,0,1,0,0,0,10.0,30.0,4.0,4.25,13.0,0.15,0,75.0,2,7.0,16.0,0.95,0.73,0.8,3.0,3.0,2,1,123092,6.0,0.0,42.0,4.0,,,,0.0,2.0,7.0,16.0,0.94,0.74,0.74,3.0,3.0,29.0,25.0,-4.0,0
434,1,0,0,0,0,0,1,0,0,2,15.0,50.0,5.0,4.25,6.0,0.25,0,77.0,2,7.0,16.0,0.95,0.75,,3.0,3.0,1,1,111692,,19.0,29.0,4.0,4.25,,,0.0,2.0,7.0,16.0,0.95,0.8,0.8,3.0,3.0,45.0,37.5,-7.5,0
435,1,0,0,0,0,0,1,0,0,1,1.0,37.5,3.0,4.25,4.0,0.17,1,25.0,2,6.5,15.5,0.95,0.75,0.79,3.0,3.0,1,1,110792,,0.0,32.0,5.0,4.25,6.0,0.15,1.0,2.0,6.5,15.5,0.94,0.74,0.79,3.0,2.0,22.75,21.0,-1.75,0
438,2,0,0,0,0,0,1,0,0,2,0.0,9.0,3.0,4.25,52.0,0.07,0,11.0,2,11.0,8.0,1.01,0.84,2.43,2.0,1.0,1,1,111292,,2.0,9.0,3.0,4.25,52.0,0.05,0.0,2.0,11.0,9.0,0.95,0.84,2.43,2.0,1.0,7.5,9.5,2.0,0
440,4,0,0,0,0,0,1,0,0,2,0.0,25.0,3.0,4.25,19.0,0.15,0,100.0,2,10.5,11.5,0.89,0.79,2.01,2.0,2.0,1,1,111392,,0.0,30.0,3.0,,,,0.0,2.0,10.5,11.5,1.0,0.8,1.8,2.0,2.0,15.5,18.0,2.5,0
441,4,0,0,0,0,0,1,0,0,2,30.0,10.0,3.0,4.25,4.0,0.25,1,100.0,2,10.5,11.5,0.89,0.77,0.84,2.0,2.0,1,1,111392,,0.0,30.0,3.0,4.25,4.0,0.25,0.0,2.0,10.5,11.5,1.0,0.8,1.81,2.0,2.0,38.0,18.0,-20.0,0
443,4,0,0,0,0,0,1,0,0,0,4.0,19.0,4.0,4.25,4.0,0.25,0,95.0,2,10.5,11.5,0.89,0.79,1.8,2.0,2.0,1,1,111392,,5.0,20.0,4.0,4.35,17.0,0.18,0.0,2.0,10.5,11.5,1.0,0.8,1.81,2.0,2.0,17.5,19.0,1.5,0
444,4,0,0,0,0,0,1,0,0,2,12.0,20.0,3.0,4.25,19.0,0.37,0,,2,10.5,12.5,0.89,0.8,0.84,2.0,2.0,1,1,111392,,10.0,35.0,4.0,4.5,4.0,0.3,0.0,2.0,10.5,11.5,0.89,,0.79,2.0,2.0,25.0,31.5,6.5,0
446,1,0,0,0,0,0,0,1,0,2,,,3.0,4.5,4.0,0.25,0,50.0,2,6.0,18.0,1.03,0.84,0.94,,,1,1,110792,,7.0,24.0,4.0,5.0,4.0,0.25,1.0,2.0,6.0,18.0,0.97,0.84,0.91,4.0,3.0,,23.0,,0
448,1,0,0,0,0,0,0,1,0,0,8.0,18.0,4.0,4.75,4.0,0.25,1,78.0,2,6.0,18.0,0.97,0.84,0.91,3.0,3.0,1,1,111892,1.0,8.0,27.0,3.0,4.5,13.0,0.25,0.0,2.0,6.0,18.0,0.96,0.83,0.87,3.0,3.0,21.0,24.5,3.5,0
449,1,0,0,0,0,0,0,1,0,2,0.0,25.0,3.0,4.87,3.5,,0,3.0,2,6.0,18.0,,,,4.0,4.0,1,1,110792,,15.0,15.0,5.0,5.0,52.0,0.25,0.0,2.0,6.0,18.0,0.97,0.84,0.73,3.0,3.0,15.5,27.5,12.0,0
450,1,0,0,0,0,0,0,1,0,0,2.0,21.0,3.0,4.75,13.0,0.15,0,50.0,2,6.5,16.5,0.97,0.82,0.84,3.0,3.0,1,1,111892,2.0,27.5,8.0,3.0,4.75,13.0,0.25,1.0,2.0,6.0,18.0,0.91,0.84,0.86,3.0,3.0,15.5,34.5,19.0,0
454,2,1,0,0,0,0,0,1,0,0,1.0,9.0,3.0,4.5,4.0,0.15,0,,2,11.0,10.0,0.94,0.73,2.53,4.0,3.0,1,1,111292,,0.0,18.0,5.0,5.0,13.0,0.25,0.0,1.0,11.0,11.0,0.94,0.73,2.64,4.0,3.0,8.5,14.0,5.5,0
459,3,1,0,0,0,0,0,1,0,0,5.0,20.0,3.0,4.25,13.0,0.37,0,,2,6.0,16.0,1.05,0.9,0.94,5.0,,2,1,122292,1.0,0.0,20.0,5.0,4.35,28.0,0.15,1.0,2.0,7.0,15.0,1.01,1.01,0.89,4.0,2.0,18.0,15.0,-3.0,0
466,4,0,0,0,0,0,0,1,0,2,8.0,17.5,4.0,4.75,17.0,0.3,1,65.0,3,10.5,11.5,0.94,0.8,0.94,2.0,2.0,1,1,111892,5.0,14.0,12.0,3.0,,52.0,,0.0,1.0,10.5,11.5,0.94,,,2.0,2.0,20.75,23.0,2.25,0
471,1,0,0,0,0,0,0,1,0,2,25.0,20.0,4.0,4.25,26.0,,0,50.0,2,6.0,18.0,0.97,0.84,0.91,2.0,2.0,1,1,111692,,12.0,23.0,3.0,4.25,26.0,0.15,0.0,2.0,6.0,18.0,0.97,0.86,0.91,3.0,1.0,39.0,26.5,-12.5,0
472,1,0,0,0,0,0,0,1,0,2,37.5,2.0,3.0,4.25,52.0,,0,80.0,2,6.5,16.5,0.97,1.05,0.91,3.0,3.0,1,1,110792,,8.0,25.0,3.0,4.9,13.0,0.18,0.0,2.0,6.0,17.0,0.96,0.84,0.91,3.0,3.0,41.5,23.5,-18.0,0
473,1,0,0,0,0,0,0,1,0,0,5.0,27.0,4.0,4.75,26.0,0.5,1,50.0,2,6.0,17.0,0.97,0.86,0.89,3.0,2.0,1,1,111792,1.0,26.0,15.0,2.0,4.5,19.0,0.13,0.0,2.0,6.0,17.0,0.97,0.84,0.86,3.0,3.0,22.5,35.5,13.0,0
475,1,0,0,0,0,0,0,1,0,1,25.0,8.0,3.0,4.5,,,0,60.0,1,7.0,15.0,1.02,0.89,0.9,3.0,3.0,1,1,110792,,10.0,16.0,3.0,4.5,26.0,0.15,0.0,1.0,7.0,15.0,1.02,0.94,0.9,3.0,3.0,32.0,21.0,-11.0,0
476,1,0,0,0,0,0,1,0,0,2,6.0,30.0,3.0,4.25,52.0,0.12,0,60.0,2,6.0,18.0,0.95,0.79,0.91,3.0,3.0,1,1,111792,1.0,5.0,30.0,3.0,4.75,52.0,0.2,0.0,2.0,6.0,18.0,0.96,0.84,1.18,3.0,3.0,24.0,23.0,-1.0,0
477,1,0,0,0,0,0,0,1,0,1,8.0,28.0,4.0,4.25,39.0,0.12,1,50.0,2,6.5,16.5,0.97,0.78,0.99,3.0,3.0,1,1,110792,,6.0,20.0,4.0,6.25,26.0,0.5,0.0,2.0,6.0,17.0,0.96,0.84,0.89,3.0,3.0,26.0,20.0,-6.0,0
478,1,0,0,0,0,0,1,0,0,0,32.0,25.0,4.0,4.5,13.0,0.22,0,30.0,2,6.0,19.0,0.97,0.86,0.91,3.0,3.0,2,1,122292,1.0,8.0,30.0,4.0,4.35,13.0,0.25,0.0,2.0,6.0,18.0,1.01,0.88,0.91,3.0,2.0,48.5,27.0,-21.5,0
485,2,1,0,0,0,0,0,1,0,2,1.0,9.0,3.0,4.5,26.0,0.37,0,80.0,2,11.0,10.0,0.95,0.74,2.33,4.0,3.0,1,1,111292,,4.0,12.0,3.0,4.5,19.0,,0.0,2.0,11.0,11.0,1.01,0.73,2.32,4.0,3.0,8.5,13.0,4.5,0
491,3,0,0,0,0,0,0,1,0,0,4.0,25.0,2.0,4.5,13.0,0.37,0,100.0,2,8.5,13.0,1.05,0.91,0.95,3.0,2.0,2,3,123092,3.0,0.0,0.0,0.0,,,,,,,,,,,,,18.5,0.0,-18.5,0
492,3,1,0,0,0,0,0,1,0,0,2.0,16.0,3.0,4.5,13.0,0.25,0,75.0,2,9.0,12.5,1.11,1.05,0.94,2.0,1.0,1,1,111192,,4.0,15.0,2.0,4.5,19.0,0.1,0.0,2.0,9.0,12.5,1.11,1.11,1.05,2.0,1.0,13.0,13.5,0.5,0
497,4,1,0,0,0,0,0,1,0,0,12.0,15.0,3.0,4.5,13.0,0.15,1,37.0,2,10.0,12.0,0.91,0.84,0.84,2.0,2.0,1,1,111392,,,,5.0,,,,0.0,2.0,10.0,12.0,1.01,0.9,0.79,2.0,2.0,22.5,,,0
498,4,1,0,0,0,0,0,1,0,2,20.0,10.0,3.0,4.75,26.0,0.1,1,75.0,2,10.0,12.0,0.91,0.84,0.85,2.0,2.0,1,1,111792,2.0,21.0,5.5,3.0,5.0,26.0,,1.0,2.0,10.0,12.0,0.98,0.84,0.9,2.0,2.0,28.0,26.75,-1.25,0
501,1,0,0,0,0,0,0,1,0,0,14.0,15.0,3.0,4.25,4.0,0.37,1,63.0,2,6.5,16.5,0.84,0.84,0.94,3.0,3.0,1,1,111792,2.0,30.0,15.0,6.0,4.75,4.0,0.35,1.0,1.0,6.0,18.0,1.03,0.91,0.91,3.0,3.0,24.5,43.5,19.0,0
503,1,0,0,0,0,0,0,1,0,2,7.5,14.0,4.0,4.75,,0.12,0,100.0,2,6.5,16.5,0.97,0.84,0.91,3.0,3.0,1,1,110792,,35.0,6.5,3.0,4.5,13.0,0.15,0.0,2.0,6.0,18.0,0.97,0.84,1.0,3.0,3.0,18.5,41.25,22.75,0
510,3,1,0,0,0,0,0,1,0,0,7.0,25.0,4.0,4.25,26.0,0.25,0,60.0,2,6.0,16.0,1.05,0.91,1.05,3.0,3.0,1,1,111892,2.0,2.5,17.5,3.0,,13.0,,1.0,2.0,7.0,15.0,1.05,1.01,,5.0,3.0,23.5,14.25,-9.25,0
511,3,1,0,0,0,0,0,1,0,0,4.0,16.0,3.0,4.75,9.0,0.15,0,75.0,2,6.0,16.5,1.01,0.91,1.05,4.0,4.0,1,1,111192,,3.0,13.0,3.0,4.75,,,0.0,2.0,7.0,15.0,1.01,1.01,0.89,6.0,2.0,15.0,12.5,-2.5,0
514,3,0,0,0,0,0,0,1,0,0,5.0,20.0,3.0,4.5,26.0,0.25,0,25.0,2,6.0,16.0,0.94,0.9,0.94,5.0,3.0,1,1,111192,1.0,23.0,16.0,3.0,4.25,10.0,0.2,0.0,2.0,6.0,16.0,0.95,0.95,1.05,6.0,4.0,18.0,34.0,16.0,0
516,3,1,0,0,0,0,0,1,0,2,6.0,22.5,3.0,4.75,13.0,0.12,0,23.0,3,6.0,16.0,1.05,0.91,1.05,4.0,3.0,1,1,111692,,2.0,12.0,2.0,4.91,14.0,0.18,1.0,2.0,8.0,14.0,1.01,0.95,0.89,5.0,3.0,20.25,10.0,-10.25,0
521,1,0,0,0,0,0,1,0,0,0,2.5,20.0,3.0,4.25,13.0,,1,50.0,2,6.5,16.5,,,0.52,4.0,4.0,1,1,110792,,0.0,12.0,8.0,4.4,13.0,0.13,1.0,2.0,7.0,16.0,0.41,0.84,0.89,4.0,2.0,15.5,14.0,-1.5,0
522,1,0,0,0,0,0,1,0,0,2,2.0,30.0,4.0,4.35,26.0,0.2,0,75.0,3,7.0,16.0,1.0,0.87,0.94,3.0,3.0,1,1,110792,,3.0,23.0,3.0,4.25,26.0,0.15,0.0,3.0,7.0,16.0,1.0,0.74,0.95,3.0,3.0,21.0,17.5,-3.5,0
113,1,0,1,0,1,0,0,0,0,0,0.0,22.0,4.0,,,,1,,2,7.0,16.0,1.06,0.95,1.0,4.0,,1,1,111092,,2.0,40.0,5.0,5.05,26.0,0.28,1.0,2.0,7.0,16.0,1.05,0.9,0.98,3.0,2.0,15.0,27.0,12.0,1
123,1,0,1,0,1,0,0,0,0,0,0.0,20.0,5.0,,13.0,,0,28.0,2,7.0,14.5,1.06,0.95,1.01,2.0,1.0,1,1,111092,,5.0,25.0,4.0,5.05,26.0,0.15,0.0,3.0,7.5,14.0,1.05,0.94,1.0,3.0,2.0,15.0,21.5,6.5,1
135,3,0,1,0,1,0,0,0,0,0,10.0,20.0,4.0,,26.0,,0,,0,9.0,12.5,,,,5.0,3.0,1,1,111692,,8.0,24.0,3.0,5.05,,0.25,0.0,2.0,10.0,11.5,1.16,1.06,1.05,5.0,3.0,24.0,23.0,-1.0,1
